"Cоциальная сеть","Группа соц. сети","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","8973","4888","0.13685500947286303","1.5563356736877298","00:02:17"
"ВКонтакте","Не определено","7999","4133","0.13064133016627077","1.5831978997374672","00:02:22"
"Facebook","Не определено","672","586","0.21279761904761904","1.2529761904761905","00:01:16"
"instagram.com","Не определено","99","77","0.25252525252525254","1.9595959595959596","00:02:42"
"Livejournal","wowavostok","67","2","0.0","1.1791044776119404","00:03:25"
"Одноклассники","Не определено","43","37","0.06976744186046512","1.255813953488372","00:02:50"
"Livejournal","elemental1111","31","18","0.0","1.6129032258064515","00:01:10"
"Livejournal","usser-live","12","1","0.08333333333333331","1.8333333333333333","00:00:18"
"Google+","Не определено","8","4","0.125","1.125","00:02:25"
"Twitter","Не определено","7","7","0.2857142857142857","1.0","00:00:11"
"Liveinternet","Не определено","6","4","0.33333333333333326","1.1666666666666667","00:00:27"
"Livejournal","Не определено","3","3","0.0","1.0","00:00:14"
"Livejournal","evan-gcrm","3","3","0.33333333333333326","1.6666666666666667","00:10:29"
"Livejournal","sergey-tikhonov","3","3","0.6666666666666665","1.0","00:00:05"
"ask.fm","Не определено","2","2","0.0","1.0","00:00:14"
"ВКонтакте","club629616","1","1","0.0","1.0","00:00:14"
"ВКонтакте","event19912267","1","1","0.0","1.0","00:00:12"
"ВКонтакте","event25877893","1","1","0.0","1.0","00:00:15"
"ВКонтакте","event89613716","1","1","0.0","1.0","00:00:14"
"ВКонтакте","id252938442","1","1","1.0","1.0","00:00:00"
"ВКонтакте","id309333829","1","1","0.0","1.0","00:00:13"
"ВКонтакте","id435109923","1","1","0.0","1.0","00:00:14"
"ВКонтакте","public44130","1","1","0.0","1.0","00:00:15"
"ВКонтакте","public52201","1","1","0.0","1.0","00:00:09"
"ВКонтакте","public58108","1","1","1.0","1.0","00:00:00"
"ВКонтакте","public7669","1","1","0.0","1.0","00:00:13"
"ВКонтакте","unecon.lecture","1","1","0.0","2.0","00:00:29"
"ВКонтакте","video-41821502_171045396","1","1","0.0","2.0","00:01:02"
"Liveinternet","users/vserodcom","1","1","0.0","4.0","00:25:41"
"Livejournal","magis-amica","1","1","0.0","2.0","00:00:12"
"Livejournal","pycode-ru","1","1","0.0","1.0","00:00:15"
"Livejournal","soldat-volga","1","1","0.0","1.0","00:00:12"
"Pinterest","pin/693061830135625096","1","1","1.0","1.0","00:00:00"
