"Группа операционных систем","Операционная система (детально)","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","328382","234970","0.15019398139971132","1.440206832286788","00:01:34"
"Windows","Windows 7 или 2008 Server","114219","76644","0.13089766150990642","1.4550206182859244","00:01:41"
"Windows","Windows 10","78562","57842","0.13128484509050176","1.4432677375830554","00:01:26"
"Windows","Windows 8.1","22922","15626","0.13423785010034028","1.4596021289590786","00:01:35"
"Windows","Windows XP","10225","7480","0.15256723716381418","1.4423471882640586","00:01:39"
"iOS","iOS 11","9730","8045","0.22425488180883865","1.2707091469681397","00:01:12"
"Google Android","Google Android 6.0 Marshmallow","9309","7143","0.161886346546353","1.381029111612418","00:01:30"
"Google Android","Google Android 7.0 Nougat","8228","6502","0.17331064657267867","1.4183276616431697","00:01:21"
"iOS","iOS 12","7786","6616","0.24736706909838171","1.207937323400976","00:01:11"
"Google Android","Google Android 8.0 Oreo","5804","4374","0.16523087525844246","1.3943831840110268","00:01:15"
"Google Android","Google Android 5.1 Lollipop","5745","4445","0.16553524804177544","1.418798955613577","00:01:18"
"GNU/Linux","Linux (другие или не определено)","5088","2664","0.2613993710691824","2.0074685534591197","00:03:07"
"Google Android","Google Android 7.1 Nougat","5073","3780","0.15888034693475261","1.400749063670412","00:01:38"
"Google Android","Google Android 9 Pie","5023","4313","0.189528170416086","1.2213816444355963","00:01:04"
"Windows","Windows 8","4685","3640","0.10501600853788688","1.3617929562433297","00:01:10"
"iOS","iOS 10","4076","2861","0.2372423945044161","1.4580471050049069","00:01:49"
"Google Android","Google Android 4.4 KitKat","3852","2640","0.14460020768431983","1.5456905503634475","00:01:48"
"Google Android","Google Android 8.1 Oreo","3772","3014","0.17841993637327674","1.3229056203605514","00:01:21"
"Google Android","Google Android 5.0 Lollipop","3015","1874","0.14792703150912107","1.637479270315091","00:02:00"
"iOS","iOS 13","2840","2410","0.2440140845070423","1.143661971830986","00:01:18"
"Mac OS","MacOS Sierra","2299","1553","0.17790343627664199","1.4245324053936494","00:01:24"
"GNU/Linux","Ubuntu (другие или не определено)","2032","1427","0.1904527559055118","1.6220472440944882","00:02:02"
"Mac OS","MacOS High Sierra","1990","1460","0.18241206030150753","1.5974874371859296","00:01:50"
"Google Android","Google Android (другие или не определено)","1538","1187","0.16970091027308193","1.3673602080624188","00:01:30"
"Mac OS","MacOS Mojave","1515","1199","0.1900990099009901","1.603960396039604","00:01:41"
"Google Android","Google Android 4.2 Jelly Bean","1199","807","0.15763135946622187","1.6438698915763137","00:01:55"
"iOS","iOS 9","1196","879","0.16722408026755853","1.5861204013377928","00:01:51"
"Mac OS","Mac OS X El Capitan","1073","746","0.16495806150978568","1.4771668219944083","00:01:21"
