stud_kod;predmet_name;ball;year;svid_status
50095;Русский язык;76;2013;Действительно
50095;Английский язык;94;2013;Действительно
50095;Математика;56;2013;Действительно
50095;Обществознание;70;2013;Действительно
50104;Русский язык;72;2013;Действительно
50104;Английский язык;77;2013;Действительно
50104;Математика;60;2013;Действительно
50104;Обществознание;67;2013;Действительно
50104;Физика;59;2013;Действительно
50137;Русский язык;84;2013;Действительно
50137;Английский язык;87;2013;Действительно
50137;Математика;68;2013;Действительно
50137;Обществознание;88;2013;Действительно
50139;Русский язык;84;2013;Действительно
50139;Английский язык;72;2013;Действительно
50139;Математика;74;2013;Действительно
50139;Обществознание;75;2013;Действительно
50139;История;70;2013;Действительно
50152;Русский язык;95;2013;Действительно
50152;Математика;48;2013;Действительно
50152;Обществознание;80;2013;Действительно
50172;Русский язык;71;2013;Действительно
50172;Математика;44;2013;Действительно
50172;Обществознание;70;2013;Действительно
50193;Русский язык;73;2013;Действительно
50193;Математика;72;2013;Действительно
50193;Обществознание;72;2013;Действительно
50205;Русский язык;79;2013;Действительно
50205;Математика;66;2013;Действительно
50205;Обществознание;71;2013;Действительно
50205;Физика;55;2013;Действительно
50209;Русский язык;92;2013;Действительно
50209;Английский язык;90;2013;Действительно
50209;Математика;79;2013;Действительно
50209;Обществознание;65;2013;Действительно
50220;Русский язык;87;2013;Действительно
50220;Математика;90;2013;Действительно
50220;Обществознание;83;2013;Действительно
50222;Русский язык;87;2013;Действительно
50222;Математика;81;2013;Действительно
50222;Обществознание;98;2013;Действительно
50226;Русский язык;65;2013;Действительно
50226;Математика;56;2013;Действительно
50226;Обществознание;78;2013;Действительно
50230;Русский язык;95;2013;Действительно
50230;Английский язык;92;2013;Действительно
50230;Математика;68;2013;Действительно
50230;Обществознание;72;2013;Действительно
50232;Русский язык;71;2013;Действительно
50232;Математика;68;2013;Действительно
50232;Обществознание;72;2013;Действительно
50239;Русский язык;73;2013;Действительно
50239;Английский язык;39;2013;Действительно
50239;Математика;40;2013;Действительно
50239;Обществознание;62;2013;Действительно
50247;Русский язык;100;2013;Действительно
50247;Английский язык;95;2013;Действительно
50247;Математика;79;2013;Действительно
50247;Обществознание;90;2013;Действительно
50248;Русский язык;71;2013;Действительно
50248;Математика;44;2013;Действительно
50248;Обществознание;58;2013;Действительно
50250;Русский язык;71;2013;Действительно
50250;Математика;60;2013;Действительно
50250;Обществознание;58;2013;Действительно
50280;Русский язык;67;2013;Действительно
50280;Математика;79;2013;Действительно
50280;Обществознание;90;2013;Действительно
50291;Русский язык;79;2013;Действительно
50291;Английский язык;89;2013;Действительно
50291;Математика;63;2013;Действительно
50291;Обществознание;67;2013;Действительно
50308;Русский язык;92;2013;Действительно
