name,lastname,otchestvo,gender,birdhdate,start,end,district
Ефимов,Виталий,Борисович,м,04.04.1940,18.09.2016,,Мордовский
Максимова,Надежда,Сергеевна,ж,13.01.1942,18.09.2016,,Хакасский
Мищеряков,Юрий,Николаевич,м,01.01.1945,18.09.2016,,Оренбургский
Борцов,Николай,Иванович,м,08.09.1945,18.09.2016,,Липецкий
Гончар,Николай,Николаевич,м,18.10.1946,18.09.2016,,Центральный
Максимов,Александр,Александрович,м,15.11.1946,18.09.2016,,Новокузнецкий
Езубов,Алексей,Петрович,м,10.02.1948,18.09.2016,,Тихорецкий
Пивненко,Валентина,Николаевна,м,14.06.1947,18.09.2016,,Карельский
Тарасенко,Михаил,Васильевич,м,21.11.1947,18.09.2016,,Левобережный
Евланов,Владимир,Лазаревич,м,03.08.1948,18.09.2016,,Краснодарский
Заварзин,Виктор,Михайлович,м,28.11.1948,18.09.2016,,Орский
Панина,Елена,Владимировна,ж,29.04.1948,18.09.2016,,Нагатинский
Пимашков,Петр,Иванович,м,02.07.1948,18.09.2016,,Центральный
Синяговский,Владимир,Ильич,м,09.08.1948,18.09.2016,,Туапсинский
Васильев,Владимир,Абдуалиевич,м,11.08.1949,18.09.2016,3.10.2017,Заволжский
Казаков,Виктор,Алексеевич,м,04.04.1949,18.09.2016,,Красноглинский
Ковалев,Николай,Дмитриевич,м,06.08.1949,18.09.2016,05.04.2019,Орловский
Роднина,Ирина,Константиновна,ж,12.09.1949,18.09.2016,,Дмитровский
Чернышев,Михаил,Анатольевич,м,06.03.1950,18.09.2016,,Южный
Антонова,Лидия,Николаевна,ж,15.05.1950,18.09.2016,,Люберецкий
Валеев,Эрнест,Абдулович,м,07.04.1950,18.09.2016,,Тюменский
Кармазина,Раиса,Васильевна,ж,09.01.1951,18.09.2016,,Енисейский
Онищенко,Геннадий,Григорьевич,м,20.11.1950,18.09.2016,,Тушинский
Сибагатуллин,Фатих,Саубанович,м,01.05.1950,18.09.2016,,Приволжский
Боева,Наталья,Дмитриевна,ж,26.12.1951,18.09.2016,,Каневской
Кабанова,Валентина,Викторовна,ж,10.10.1951,18.09.2016,,Орехово-Зуевский
