formalname_region,formalname_city,address,cadastral_registration_date,stage,built_year,exploitation_start_year,project_type,house_type,floor_count_max,floor_count_min,entrance_count,residents_count,area_total,area_residential,area_non_residential,area_common_property,area_land,monument_status,monument_document_date,monument_document_number,deterioration_total,determined_date,floor_type,wall_material,alarm_reason,alarm_reason_other,alarm_document_number,alarm_has_file,exp_name,exp_document_number,exp_document_date,exp_has_file,commission_document_number,commission_document_date,commission_has_file,further_use,decision_deadline_date,planned_resettlement_date,actual_resettlement_date,planned_rooms_count,planned_rooms_square,planned_ppl_count,planned_demolition_date,resettled_rooms_count,resettled_rooms_square,resettled_ppl_count,empty_rooms_count,empty_rooms_square,redemption_amount,planned_providing_area_square,alarm_document_date,year_alarm_document,date_alarm
Коми,Воркута,"Респ. Коми, г. Воркута, пер. Больничный, д. 1А",31.10.2005,Выведенный из эксплуатации,1959,1959,"Б8-50М, кирпичный",Многоквартирный дом,2,2,1,0,378,"348,8",0,"29,2",840,Не имеется,,,70,06.12.2010,,,Физический износ,,378,Не имеется,,,,Не имеется,,,Не имеется,Снос,30.06.2024,31.12.2023,12.09.2019,,,,31.12.2024,,,,14,"348,8",,,06.03.2019,2019,60
Коми,Воркута,"Респ. Коми, г. Воркута, ул. Волынова, д. 3",24.10.2005,Эксплуатируемый,1964,1964,1р-447С,Многоквартирный дом,4,4,3,13,"2182,2","1509,8","524,8","147,6",1800,Не имеется,,,50,11.08.2010,Не заполнено,Не заполнено,Физический износ,,1622,Не имеется,,,,Не имеется,,,Не имеется,Не заполнено,,,,23,"504,6",13,,,,,44,"1005,2",,,11.11.2019,2019,55
Коми,Воркута,"Респ. Коми, г. Воркута, ул. Волынова, д. 5",24.10.2005,Эксплуатируемый,1964,1964,"1-335, крупнопанельный",Многоквартирный дом,5,5,3,19,"3049,8","2658,5","163,3",228,2227,Не имеется,,,44,12.08.2010,Не заполнено,Не заполнено,Физический износ,,1620,Не имеется,,,,Не имеется,,,Не имеется,Не заполнено,,,,40,"951,8",19,,,,,74,"1706,7",,,11.11.2019,2019,55
Коми,Воркута,"Респ. Коми, г. Воркута, ул. Волынова, д. 7",24.10.2005,Эксплуатируемый,1964,1964,"1-335, крупнопанельный",Многоквартирный дом,5,5,3,13,"3425,5","2666,1","531,4",228,1999,Не имеется,,,44,17.08.2010,Не заполнено,Не заполнено,Физический износ,,1618,Не имеется,,,,Не имеется,,,Не имеется,Не заполнено,,,,44,"1015,3",13,,,,,68,"1650,8",,,11.11.2019,2019,55
Коми,Воркута,"Респ. Коми, г. Воркута, ул. Волынова, д. 9",24.10.2005,Эксплуатируемый,1964,1964,1-335,Многоквартирный дом,5,5,4,29,"3908,2","3606,2",0,302,3642,Не имеется,,,,,Не заполнено,Не заполнено,Физический износ,,1619,Не имеется,,,,Не имеется,,,Не имеется,Не заполнено,,,,45,"1018,3",29,,,,,115,"2587,9",,,11.11.2019,2019,55
Коми,Воргашор,"Респ. Коми, г. Воркута, пгт. Воргашор, ул. Есенина, д. 4",28.10.2005,Выведенный из эксплуатации,1963,1963,1-335А,Многоквартирный дом,4,4,3,6,"2247,3","2070,9",0,"176,4",2128,Не имеется,,,65,09.12.2010,,,Физический износ,,2860,Имеется,,,,Не имеется,275,28.08.2013,Имеется,Снос,30.06.2019,31.12.2022,,22,"508,3",6,31.12.2023,,,,70,"1562,6",,,02.09.2013,2013,50
Коми,Воргашор,"Респ. Коми, г. Воркута, пгт. Воргашор, ул. Есенина, д. 6",28.10.2005,Выведенный из эксплуатации,1963,1963,"1-335, крупнопанельный",Многоквартирный дом,4,4,3,5,2725,"2049,3","506,5","169,2",2624,Не имеется,,,65,15.11.2010,,,Физический износ,,2860,Имеется,,,,Не имеется,276,28.08.2013,Имеется,Снос,30.06.2019,31.12.2022,,9,"206,5",5,31.12.2023,,,,83,"1842,8",,,02.09.2013,2013,50
Коми,Воргашор,"Респ. Коми, г. Воркута, пгт. Воргашор, ул. Есенина, д. 8",28.10.2005,Выведенный из эксплуатации,1964,1964,"1-335, панельный",Многоквартирный дом,4,4,3,3,"2340,6","1571,2","587,4",182,"826,8",Не имеется,,,45,25.06.2010,Не заполнено,Не заполнено,Физический износ,"заключение специализированной организации ООО ""Модулор""",358,Не имеется,"ООО ""Модулор""",1555-2017/р,20.02.2017,Не имеется,53,22.02.2017,Не имеется,Снос,30.06.2025,31.12.2024,,13,"303,5",3,31.12.2025,,,,56,"1267,7",0,"303,5",07.03.2017,2017,53
Коми,Воргашор,"Респ. Коми, г. Воркута, пгт. Воргашор, ул. Катаева, д. 32",28.10.2005,Эксплуатируемый,1992,1992,"1-335АУ, панельный",Многоквартирный дом,5,5,5,158,"5961,6","5258,1","62,1","641,4",,Не имеется,,,24,02.07.2010,Не заполнено,Не заполнено,Физический износ,,956,Не имеется,,,,Не имеется,,,Не имеется,Не заполнено,,,,170,"4316,4",65,,,,,39,"941,7",,,19.06.2019,2019,27
Коми,Воргашор,"Респ. Коми, г. Воркута, пгт. Воргашор, ул. Катаева, д. 35",28.10.2005,Эксплуатируемый,1964,1964,1-335,Многоквартирный дом,4,4,3,47,"2733,2","2077,1","431,1",225,2907,Не имеется,,,55,10.11.2010,Не заполнено,Не заполнено,Физический износ,"заключение МКУ ""Технический контроль"" МО ГО ""Воркута"" от 20.06.2018 № 0006-2018",958,Имеется,"МКУ ""Технический контроль"" МО ГО ""Воркута""",0006-2018,20.06.2018,Не имеется,189,22.06.2018,Не имеется,Снос,30.06.2022,31.12.2021,,41,"931,7",39,30.06.2022,,,,51,"1145,4",,,03.07.2018,2018,54
