|id|order_date|ship_mode|customer_id|sales
0|100006|2014-09-07|Standard|DK-13375|377.97
1|100090|2014-07-08|Standard|EB-13705|699.192
2|100293|2014-03-14|Standard|NF-18475|91.056
3|100328|2014-01-28|Standard|JC-15340|3.928
4|100363|2014-04-08|Standard|JM-15655|21.375999999999998
5|100391|2014-05-25|Standard|BW-11065|14.62
6|100678|2014-04-18|Standard|KM-16720|697.074
7|100706|2014-12-16|Second|LE-16810|129.44
8|100762|2014-11-24|Standard|NG-18355|508.62
9|100860|2014-03-26|Second|CS-12505|18.75
10|100867|2014-10-19|Standard|EH-14125|321.552
11|100881|2014-03-28|Standard|DR-12940|302.376
12|100895|2014-06-02|Standard|SV-20785|605.47
13|100916|2014-10-21|Standard|FH-14275|788.86
14|100972|2014-11-19|Second|DB-13360|166.44
15|101147|2014-12-02|First|MC-17575|2.394
16|101175|2014-12-09|Standard|DM-12955|100.704
17|101266|2014-08-27|Second|MM-17920|13.36
18|101364|2014-12-22|Standard|TW-21025|296.712
19|101392|2014-12-07|Standard|AS-10630|269.36
20|101427|2014-12-26|Standard|AY-10555|8.016
21|101462|2014-04-20|Standard|BP-11230|59.92
22|101476|2014-09-12|First|SD-20485|69.99
23|101560|2014-11-28|Second|CS-12250|542.34
24|101602|2014-12-15|First|MC-18100|803.96
25|101770|2014-03-31|Standard|KB-16240|1.869
26|101833|2014-11-17|Second|FG-14260|34.44
27|101931|2014-10-28|First|TS-21370|1252.6019999999999
28|102008|2014-09-30|Standard|RA-19915|48.94
29|102085|2014-10-04|Standard|JD-16015|29.24
30|102274|2014-11-21|Standard|DH-13075|865.5
31|102295|2014-11-24|Second|EH-13990|120.712
32|102330|2014-12-29|Standard|AI-10855|408.76800000000003
33|102645|2014-01-23|Standard|IM-15055|40.08
34|102652|2014-04-06|Standard|AY-10555|199.99
35|102673|2014-11-01|Standard|KH-16630|1044.44
36|102869|2014-09-09|Second|LC-17140|233.24400000000003
37|102988|2014-04-05|Second|GM-14695|4251.92
38|103058|2014-07-23|First|AG-10270|99.98
39|103086|2014-10-17|Second|EB-14170|5.312
40|103100|2014-12-20|First|AB-10105|1107.66
