order_date,color,customer_id,sales
100006,2014-09-07,red,DK-13375,377.97
100090,2014-07-08,red,EB-13705,699.192
100293,2014-03-14,red,NF-18475,91.056
100328,2014-01-28,red,JC-15340,3.928
100363,2014-04-08,red,JM-15655,21.375999999999998
100391,2014-05-25,red,BW-11065,14.62
100678,2014-04-18,red,KM-16720,697.074
100706,2014-12-16,white,LE-16810,129.44
100762,2014-11-24,red,NG-18355,508.62
100860,2014-03-26,white,CS-12505,18.75
100867,2014-10-19,red,EH-14125,321.552
100881,2014-03-28,red,DR-12940,302.376
100895,2014-06-02,red,SV-20785,605.47
100916,2014-10-21,red,FH-14275,788.86
100972,2014-11-19,white,DB-13360,166.44
101147,2014-12-02,red,MC-17575,2.394
101175,2014-12-09,red,DM-12955,100.704
101266,2014-08-27,white,MM-17920,13.36
101364,2014-12-22,red,TW-21025,296.712
101392,2014-12-07,red,AS-10630,269.36
101427,2014-12-26,red,AY-10555,8.016
101462,2014-04-20,red,BP-11230,59.92
101476,2014-09-12,red,SD-20485,69.99
101560,2014-11-28,white,CS-12250,542.34
101602,2014-12-15,red,MC-18100,803.96
101770,2014-03-31,red,KB-16240,1.869
101833,2014-11-17,white,FG-14260,34.44
101931,2014-10-28,red,TS-21370,1252.6019999999999
102008,2014-09-30,red,RA-19915,48.94
102085,2014-10-04,red,JD-16015,29.24
102274,2014-11-21,red,DH-13075,865.5
102295,2014-11-24,white,EH-13990,120.712
102330,2014-12-29,red,AI-10855,408.76800000000003
102645,2014-01-23,red,IM-15055,40.08
102652,2014-04-06,red,AY-10555,199.99
102673,2014-11-01,red,KH-16630,1044.44
102869,2014-09-09,white,LC-17140,233.24400000000003
102988,2014-04-05,white,GM-14695,4251.92
103058,2014-07-23,red,AG-10270,99.98
103086,2014-10-17,white,EB-14170,5.312
103100,2014-12-20,red,AB-10105,1107.66
103191,2014-09-22,red,VG-21805,331.536
103219,2014-11-09,red,BF-11215,56.52
103310,2014-05-10,red,GM-14680,1769.7839999999999
103317,2014-07-05,red,DM-13525,242.546
103331,2014-08-26,red,KB-16315,31.4
103366,2014-01-15,red,EH-13990,149.95
103373,2014-05-18,red,BS-11755,779.796
103401,2014-11-21,red,GR-14560,12.96
103429,2014-05-30,red,LW-16825,765.4939999999999
103492,2014-10-10,red,CM-12715,1488.774
103527,2014-09-09,white,CC-12220,10.895999999999999
103590,2014-11-30,red,JL-15505,62.28
103660,2014-08-25,red,MW-18220,1007.944
103702,2014-09-12,red,AF-10885,63.924
103744,2014-02-23,red,MG-17875,11.364
103800,2014-01-03,red,DP-13000,16.448
103807,2014-12-02,red,EM-13825,21.19
103849,2014-05-11,red,PG-18895,225.016
103940,2014-09-17,red,BN-11515,260.79
103989,2014-03-19,red,MC-17605,590.762
104178,2014-08-25,red,JM-15265,176.14
104269,2014-03-01,white,DB-13060,457.56800000000004
104283,2014-06-27,red,LM-17065,616.14
104402,2014-06-17,red,DB-13660,65.97
104472,2014-06-02,red,CK-12325,133.128
104563,2014-03-07,red,CM-12715,1143.822
104738,2014-12-30,white,SP-20620,609.614
104773,2014-12-08,red,TB-21175,60.416000000000004
104780,2014-05-21,red,BT-11530,31.84
104808,2014-02-04,white,MH-17440,17.248
104829,2014-11-18,white,JG-15805,21.98
104976,2014-12-09,red,CK-12760,34.68
105165,2014-09-07,red,SZ-20035,469.043
105172,2014-04-04,red,PK-18910,18.9
105249,2014-11-28,white,DH-13675,460.092
105270,2014-11-11,red,AP-10915,143.128
105340,2014-11-22,red,EH-14185,6.928
105417,2014-01-07,red,VS-21820,87.15799999999999
105648,2014-03-03,red,EJ-14155,626.352
105872,2014-05-30,red,JG-15160,70.368
105893,2014-11-11,red,PK-19075,665.88
105984,2014-11-24,white,MY-18295,1661.0279999999998
106054,2014-01-06,red,JO-15145,12.78
106229,2014-06-07,white,NR-18550,268.935
106264,2014-12-26,red,CK-12595,15.39
106376,2014-12-05,red,BS-11590,1280.992
106439,2014-10-31,red,GG-14650,1007.936
106572,2014-09-05,red,NP-18700,264.32
106719,2014-08-24,white,RB-19645,8.288
106726,2014-12-06,red,RS-19765,1261.33
106803,2014-12-29,red,DC-13285,144.36
106810,2014-05-14,red,AJ-10795,310.88
106971,2014-09-02,red,BM-11785,475.944
107139,2014-07-05,red,DP-13390,180.96
107153,2014-09-28,red,GZ-14545,46.26
107181,2014-02-04,red,DB-13270,117.13600000000001
107398,2014-08-25,red,BS-11590,30.246
107454,2014-11-02,red,RD-19720,124.2
107524,2014-03-02,red,KN-16705,47.76
107573,2014-12-12,red,PB-19150,23.471999999999998
107594,2014-07-02,red,EH-13945,79.56
107706,2014-02-14,white,ST-20530,16.176
107755,2014-02-07,red,CK-12760,115.36
107769,2014-10-28,red,BT-11395,257.98
107811,2014-04-29,red,LA-16780,661.5039999999999
107818,2014-09-08,red,MC-17275,1771.52
107916,2014-08-24,red,JP-15460,25.951999999999998
108147,2014-06-08,red,RD-19480,1745.36
108182,2014-02-06,white,DL-13315,8.952
108189,2014-10-02,red,ES-14080,598.144
108273,2014-12-16,red,EJ-13720,92.85600000000001
108609,2014-10-31,white,AJ-10780,1421.664
108707,2014-10-24,red,DB-12910,10.368
108861,2014-05-28,red,MM-17260,136.96
108903,2014-10-03,white,DO-13435,212.952
109043,2014-08-15,red,CS-12355,243.6
109127,2014-12-21,red,JC-15775,17.28
109134,2014-11-05,red,DE-13255,20.04
109218,2014-06-30,white,AR-10825,32.4
109232,2014-01-13,white,ND-18370,545.94
109302,2014-08-12,red,CS-12175,196.21
109491,2014-02-20,red,LC-16930,82.63
109680,2014-10-06,red,VP-21760,386.34
109855,2014-09-01,red,LH-16900,380.744
109890,2014-07-21,red,PG-18820,35.98
109897,2014-08-12,red,BW-11200,891.7760000000001
109904,2014-07-14,white,BF-10975,17.94
109918,2014-09-07,white,LR-17035,131.84
109932,2014-12-09,red,VP-21760,247.78400000000002
110030,2014-12-06,white,LF-17185,23.976
110065,2014-08-05,red,SP-20650,151.95
110072,2014-10-22,red,MG-17680,93.88799999999999
110100,2014-04-25,red,LC-16885,302.376
110184,2014-07-12,red,BF-11170,505.686
110219,2014-05-05,red,EB-13870,127.869
110352,2014-11-23,red,ED-13885,23.68
110408,2014-10-18,white,AS-10225,2216.8
110422,2014-01-21,white,TB-21400,25.248
110527,2014-08-09,red,ED-13885,20.88
110555,2014-04-11,red,MM-18055,410.10400000000004
110611,2014-10-06,red,JD-16015,83.92
110639,2014-08-23,white,RH-19495,71.84
110786,2014-12-29,red,AJ-10795,1365.63
110849,2014-04-18,red,JL-15835,323.45799999999997
111003,2014-06-01,red,CR-12625,334.68
111059,2014-02-03,white,TB-21400,97.11200000000001
111150,2014-12-31,red,RW-19630,77.21
111157,2014-03-02,red,NH-18610,154.624
111192,2014-07-30,red,TS-21430,1367.84
111360,2014-11-24,red,AT-10435,5.742000000000001
111451,2014-12-26,red,KL-16555,855.2719999999999
111500,2014-08-17,red,DJ-13510,484.79
111773,2014-06-29,red,JK-15625,13.92
111857,2014-04-23,white,NM-18445,48.91
111871,2014-03-18,white,EK-13795,1198.33
111899,2014-05-04,red,NC-18340,43.312
111934,2014-05-05,red,GD-14590,47.32
111962,2014-09-29,red,EB-14170,817.798
112158,2014-12-02,red,DP-13165,1050.6
112291,2014-04-03,red,KE-16420,233.45
112326,2014-01-04,red,PO-19195,288.06
112403,2014-03-31,white,JO-15280,0.852
112718,2014-12-16,red,KN-16450,1.167
112837,2014-09-11,red,LW-17125,127.95
112851,2014-09-17,red,NR-18550,182.94
113047,2014-10-24,white,AP-10915,11.85
113166,2014-12-24,red,LF-17185,9.568
113257,2014-12-16,white,SC-20305,328.592
113271,2014-07-09,red,DS-13030,172.097
113320,2014-12-12,white,LH-17155,30.72
113362,2014-09-14,red,AJ-10960,460.22
113383,2014-09-10,red,SF-20065,336.82
