КОПУК,Название,Адрес,Число дней работы парка (Единица),Общая площадь парка (Гектар),Число досуговых объектов: всего (Единица),Число досуговых объектов: требуют капитального ремонта  (Единица),Число досуговых объектов: работающие круглогодично (Единица),"Количество спортивных объектов (залов, площадок): в летний сезон (Единица)","Количество спортивных объектов (залов, площадок): в зимний сезон (Единица)",Прокат спортивного инвентаря: в летний сезон (Единица),Прокат спортивного инвентаря: в зимний сезон (Единица),"Число концертных площадок, павильонов (Единица)",Количество игровых объектов на детских площадках: в летний сезон (Единица),Количество игровых объектов на детских площадках: в зимний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в летний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в зимний сезон (Единица),Количество туалетов: в летний сезон (Единица),Количество туалетов: в зимний сезон (Единица),Наличие доступа в Интернет (Единица),Число культурно-массовых и физкультурно-оздоровительных мероприятий: всего (Единица),Численность работников: всего (Человек),Численность работников: штатных (Человек)
276800,ЦПКО им.М.Горького,"119049, г.Москва, улица Крымский Вал, дом 9, строение 1",365,209,126,7,61,17,18,TRUE,TRUE,6,136,136,3481,1160,43,43,TRUE,2348,520,514
276834,"ПКО ""Сокольники""","107113, г.Москва, улица Сокольнический Вал, дом 1, строение 1",365,"503,1",76,15,65,37,32,TRUE,TRUE,6,162,125,2994,1831,22,19,TRUE,2459,390,344
276995,"ГАУК г.Москвы ""Парк ""Зарядье""","109012, г.Москва, улица Варварка, домовладение 6, строение 1",365,"10,2",28,,28,,,,,2,25,25,634,634,27,27,TRUE,2690,307,303
276124,ЦПКО им.С.М.Кирова,"197110, г.Санкт-Петербург, остров Елагин, дом 4",365,96,30,6,14,5,4,TRUE,TRUE,2,19,19,781,225,4,3,TRUE,283,288,279
272053,"Парки, инвестиции, туризм г.Краснодар","350911, Краснодарский край, город Краснодар, улица Трамвайная, дом 2",365,122,125,,125,12,1,TRUE,,7,,,,,10,10,TRUE,1263,227,227
282657,Объединение ПКО г.Нальчик,"Кабардино-Балкарская Респ., город Нальчик, проспект Шогенцукова",365,203,4,,,,,,,,,,,,4,,TRUE,,187,187
280011,Екатеринбургский ЦПКО им.Маяковского,"620100, Свердловская обл., город Екатеринбург, улица Мичурина, дом 230",365,94,14,,,1,2,TRUE,TRUE,2,6,8,334,334,4,2,TRUE,78,181,181
278401,ЦПКО им.В.Белинского,"440026, Пензенская обл., город Пенза, улица Карла Маркса, владение 1",365,274,46,2,40,6,6,,,4,40,40,,,2,2,TRUE,2243,179,179
274985,Новокузнецкий ГПКО им.Ю.Гагарина,"654007, Кемеровская обл., город Новокузнецк, улица Спартака, дом 5",291,18,41,,,2,1,TRUE,TRUE,1,19,,160,,8,2,TRUE,107,163,21
279885,ГПКО им.Гагарина,"Сахалинская обл., город Южно-Сахалинск, улица Детская",365,"52,2",25,,21,5,3,,,4,7,7,300,80,2,1,TRUE,494,158,158
276209,"ПКО ""Дубки"", Сестрорецк","197706, г.Санкт-Петербург, город Сестрорецк, переулок Большой Литейный, дом 37",365,"60,5",7,,7,3,2,TRUE,TRUE,2,11,11,,,4,3,TRUE,729,136,129
276247,Зеленогорский ПКО,"197720, г.Санкт-Петербург, город Зеленогорск, шоссе Приморское, дом 536",365,"22,3",24,3,15,14,6,TRUE,TRUE,4,19,18,,,2,2,TRUE,770,135,126
271466,"ПО ""Ставропольские ПКО""","355037, Ставропольский край, город Ставрополь, улица Шпаковская, дом 111",365,"198,8",150,3,79,10,3,TRUE,TRUE,36,411,60,1880,903,25,18,TRUE,1506,130,35
277610,"Одинцовский парк культуры, спорта и отдыха","143003, Московская обл., район Одинцовский, город Одинцово, улица Молодежная, дом 1",365,"145,6",7,,4,4,3,,,,22,22,,,12,12,TRUE,755,114,114
276849,Измайловский ПКО,"105187, г.Москва, аллея Большого Круга, дом 7",365,313,17,1,,6,6,TRUE,TRUE,5,15,15,206,206,6,6,TRUE,738,110,110
277875,"ПКО им.30-летия ВЛКСМ, Омск","644021, Омская обл., город Омск, улица Маяковского, дом 96",213,"151,1",72,3,46,4,4,TRUE,TRUE,2,7,2,,,16,6,TRUE,1060,99,99
281230,"ПКО ""Победа""","Ульяновская обл., город Ульяновск, улица Юности",365,"61,3",13,,,2,3,,TRUE,2,15,16,620,190,9,4,TRUE,78,92,52
271385,Хабаровский краевой парк им.Н.Н.Муравьева-Амурского,"680000, Хабаровский край, город Хабаровск, улица Шевченко, дом 15",365,14,4,,,2,,,,2,,,,,2,,TRUE,50,88,88
281508,ЦПКО им.Ю.Гагарина,"Челябинская обл., город Челябинск, улица Коммуны",365,"52,2",28,,23,17,7,TRUE,TRUE,4,36,29,340,72,12,8,TRUE,196,85,85
273681,"Автозаводский парк, Нижний Новгород","603083, Нижегородская обл., город Нижний Новгород, улица Героя Советского Союза Прыгунова, дом 2",365,"73,7",29,,14,9,5,TRUE,TRUE,1,37,39,780,549,36,15,TRUE,139,84,73
283359,Детский парк г.Симферополь,"295017, Респ. Крым, город Симферополь, проспект Кирова, дом 51",365,10,27,7,27,2,2,,,1,5,3,,,2,2,TRUE,208,81,81
276853,"ПКО ""Фили""","г.Москва, ул. Б. Филевская, 22",365,463,55,,50,26,29,TRUE,TRUE,,,,,,,,,390,79,79
277108,"ГПКО, Балашиха","143904, Московская обл., город Балашиха, улица Парковая, владение 4",365,"62,1",21,6,21,15,2,TRUE,TRUE,4,87,87,304,200,5,5,TRUE,295,77,71
277358,"Городские парки г,Дубны","141983, Московская обл., город Дубна, улица Володарского, дом 1/7",365,"23,8",6,,5,4,1,,,1,9,9,40,,2,,TRUE,78,75,30
277146,"Домодедовский ГПКО ""Елочки""","142000, Московская обл., город Домодедово, Каширского шоссе, дом 107",365,"26,9",9,,8,3,2,TRUE,TRUE,2,11,10,220,80,4,4,TRUE,675,73,59
281692,ПКО г.Снежинска,"Челябинская обл., город Снежинск",365,"17,4",8,,6,2,2,TRUE,TRUE,3,3,1,,,4,2,TRUE,371,72,72
283607,"ГПКО, Саранск","430009, Респ. Мордовия, город Саранск, улица Краснофлотская, дом 12",365,"15,4",76,12,33,26,26,,TRUE,3,56,56,,,10,1,TRUE,339,71,71
283414,ЦПКО г.Йошкар-Ола,"424002, Респ. Марий Эл, город Йошкар-Ола, улица Комсомольская, дом 124",247,13,72,35,46,5,5,TRUE,,2,2,1,,,3,1,TRUE,620,71,68
276904,"ПКО ""Бабушкинский""","129281, г.Москва, улица Менжинского, дом 6",365,195,85,,73,16,15,TRUE,TRUE,8,296,291,140,100,15,9,TRUE,837,67,67
270772,"Парки отдыха ""Ривьера-Сочи""","Краснодарский край, город Сочи, улица Егорова",365,"14,7",36,,22,8,8,,,1,1,1,,,3,3,TRUE,2310,67,67
270289,Парки г.Новороссийска,"Краснодарский край, город Новороссийск, ул. Советская , 53",365,31,29,,29,5,5,,,3,24,24,,,4,4,,86,65,65
281527,Гор.сад им.Пушкина,"454091, Челябинская обл., город Челябинск, улица Орджоникидзе, дом 58А",365,28,13,5,4,2,2,TRUE,TRUE,3,26,20,200,,5,2,TRUE,140,65,65
279457,Центр культ.-досуг. деят-ти г.Таганрога,"347949, Ростовская обл., город Таганрог, улица Петровская, домовладение 104, корпус 1",365,"19,8",16,,4,2,1,,,4,9,4,200,,6,2,TRUE,639,65,65
277678,"ПКО ""Березовая Роща""","630015, Новосибирская обл., город Новосибирск, улица Планетная, дом 53",365,"31,2",146,,61,9,11,TRUE,TRUE,2,14,6,550,240,3,1,TRUE,161,62,62
277517,Парки Великого Новгорода,"Новгородская обл., город Великий Новгород, улица Мерецкова-Волосова",365,"38,2",58,,19,2,,,,1,7,7,,,1,1,TRUE,56,59,56
270467,Северский ПКО им.Пушкина,"353240, Краснодарский край, район Северский, станица Северская, улица Ленина, 108",365,"6,2",29,,14,1,,,,4,16,,,,2,2,TRUE,566,59,54
278806,ПКО им.С.М.Кирова г.Железногорск,"Красноярский край, город Железногорск",365,25,13,3,6,1,1,TRUE,TRUE,3,14,3,45,10,3,1,TRUE,288,57,53
271012,Парки Красногорска,"143444, Московская обл., район Красногорский, город Красногорск, микрорайон Опалиха, улица Есенинская, владение 15",365,"90,4",43,,34,16,15,TRUE,TRUE,5,58,58,60,30,4,4,,292,53,53
284224,"ОАО ""Летний сад им.М.Горького""","426008, Удмуртская Респ., город Ижевск, улица Милиционная, дом 4",365,"99,3",44,,1,,2,TRUE,TRUE,3,16,,150,,15,2,TRUE,216,52,27
277682,"ПКО ""Бугринская Роща""","630033, Новосибирская обл., город Новосибирск, улица Саввы Кожевникова, дом 39",365,"17,2",50,,30,4,3,TRUE,TRUE,2,29,29,,,6,5,TRUE,145,52,50
276891,"ПКО ""Таганский""","109147, г.Москва, улица Таганская, дом 40-42",365,"7,2",35,,25,8,6,TRUE,TRUE,3,52,52,59,35,3,3,TRUE,148,51,49
276957,"ГАУК  г.Москвы ""Поклонная гора""","121170, г.Москва, улица Братьев Фонченко, дом 7",365,89,42,,42,5,5,TRUE,TRUE,,27,27,300,200,10,10,TRUE,275,50,49
275808,"ЦПКО, Курган","640002, Курганская обл., город Курган, улица Гоголя, дом 1",331,32,40,,22,3,1,TRUE,TRUE,1,15,11,,,6,2,TRUE,249,50,27
278609,"ПКО ""Олимпийский""","440039, Пензенская обл., город Пенза, улица Гагарина, дом 6",365,"5,6",16,,12,7,5,TRUE,TRUE,4,2,,60,40,5,5,TRUE,3120,48,48
276919,Лианозовский ПКО,"127572, г.Москва, улица Угличская, дом 13",365,86,110,,,35,36,TRUE,TRUE,8,360,360,500,150,22,22,TRUE,495,47,47
272852,Детский городской парк г.Волгограда,"400074, Волгоградская обл., город Волгоград, улица Иркутская, владение 8",365,"2,5",6,,4,,,,,3,10,10,,,5,5,TRUE,311,47,47
284807,Центр управления общественными пространствами,"677008, Респ. Саха (Якутия), город Якутск, улица Лермонтова, дом 64/2",195,"155,4",2,,,,,,TRUE,2,2,,,,,,TRUE,326,46,46
277288,Раменский ГПКО,"140108, Московская обл., район Раменский, город Раменское, улица Первомайская, дом 2",365,"18,4",55,,12,5,2,TRUE,TRUE,3,31,31,72,,5,4,TRUE,52,46,46
274167,ЦПКО г.Калининграда,"236022, Калининградская обл., город Калининград, проспект Победы, дом 1",365,"16,9",57,,40,,,,,1,8,5,,,3,1,TRUE,137,45,39
276514,Нижний парк г.Липецка,"398020, Липецкая обл., город Липецк, улица Ленина, дом 31А",365,"111,3",51,3,6,2,2,,TRUE,3,22,22,,,2,1,TRUE,599,44,22
279255,ПКО им.Островского,"Ростовская обл., город Ростов-на-Дону, проспект Сельмаш",365,"24,4",40,,11,3,2,TRUE,,,,,,,,,,241,44,44
275719,Парковый комплекс истории техники им.К.Г.Сахарова,"Самарская обл., город Тольятти, шоссе Южное",364,23,4,,2,,,,,2,5,5,50,50,9,6,TRUE,40,44,38
277714,ПКО им.С.М.Кирова,"630108, Новосибирская обл., город Новосибирск, улица Станиславского, дом 1а",365,"6,6",25,,18,3,3,,,2,10,10,,,3,3,TRUE,389,44,44
270503,"Адлерский филиал ПКО ""Ривьера-Сочи""","Краснодарский край, город Сочи, улица Ромашек",365,"2,8",7,,7,2,2,,,1,1,1,,,2,2,TRUE,640,44,44
270274,Кропоткинский ПКО,"352380, Краснодарский край, район Кавказский, город Кропоткин, улица Красная, дом 13",365,"1,7",9,,5,1,1,,,1,1,1,,,2,1,TRUE,1376,44,25
270433,Каневский ПКО им.30-летия Победы,"Краснодарский край, район Каневской, станица Каневская, улица Вокзальная",360,"3,4",34,,34,1,1,,,,10,10,,,1,1,TRUE,345,43,43
278971,ГКДЦ им.Горького,"344002, Ростовская обл., город Ростов-на-Дону, улица Большая Садовая, дом 45",365,"8,5",43,,32,2,2,,,2,3,3,,,4,2,TRUE,1991,42,42
276868,"Московский гор.сад ""Эрмитаж""","127006, г.Москва, улица Каретный Ряд, дом 3, строение 7",365,5,21,1,9,,2,,TRUE,4,32,32,410,300,1,1,TRUE,274,41,41
273728,"ПКО ""Харинка""","153027, Ивановская обл., город Иваново, улица Павла Большевикова, дом 29",313,"231,6",44,,15,1,2,TRUE,TRUE,2,22,22,,,6,6,TRUE,358,40,39
272532,ЦПКО г.Владимира,"600017, Владимирская обл., город Владимир, улица Мира, дом 36",365,"29,3",147,,91,10,6,TRUE,TRUE,2,20,16,,,4,4,TRUE,340,40,40
276482,"ПКО, Сланцы","Ленинградская обл., район Сланцевский, город Сланцы, улица Партизанская",365,"6,5",20,,12,3,3,TRUE,TRUE,2,3,3,,,2,2,TRUE,429,40,40
273766,"ПКО им.35-летия Победы, Кинешма","Ивановская обл., город Кинешма, улица Завокзальная",335,52,11,,5,1,1,,TRUE,1,15,15,,,1,1,TRUE,95,39,39
270293,Ейский ГПКО им.Поддубного,"353690, Краснодарский край, район Ейский, город Ейск, улица Первомайская, дом 189/3",365,20,28,,3,3,,,,1,,,,,1,,TRUE,100,39,39
279052,ПКО им.Октября,"344064, Ростовская обл., город Ростов-на-Дону, улица 56 Армии, дом 1",247,"7,2",20,1,13,10,8,TRUE,,1,3,3,,,2,1,TRUE,193,39,20
274203,Дирекция ландшафтн.парков г.Калининграда,"236004, Калининградская обл., город Калининград, улица Аллея смелых, дом 2",247,"130,1",8,,8,3,3,,,1,116,116,,,3,3,TRUE,32,38,37
