"Cоциальная сеть","Группа соц. сети","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","10533","7826","0.12892813063704547","1.5796069495870122","00:02:25"
"ВКонтакте","Не определено","8977","6566","0.12442909658014926","1.6048791355686756","00:02:30"
"Facebook","Не определено","841","733","0.1807372175980975","1.3043995243757431","00:01:26"
"instagram.com","Не определено","84","76","0.27380952380952384","1.8214285714285714","00:01:55"
"Одноклассники","Не определено","78","71","0.1282051282051282","1.2820512820512822","00:02:27"
"Livejournal","dima-piterski","52","28","0.07692307692307693","1.1346153846153846","00:01:53"
"ВКонтакте","unecon.lecture","46","33","0.043478260869565216","2.1739130434782608","00:06:45"
"Livejournal","elemental1111","44","42","0.045454545454545456","1.9545454545454546","00:02:23"
"ВКонтакте","public72630389","34","27","0.1176470588235294","1.3529411764705883","00:00:30"
"Liveinternet","Не определено","31","12","0.06451612903225806","1.3548387096774193","00:06:03"
"Google+","Не определено","22","15","0.09090909090909091","1.0909090909090908","00:01:02"
"Livejournal","irielle-konigin","17","12","0.0588235294117647","1.7647058823529411","00:01:25"
"Livejournal","moccbet","15","15","0.06666666666666667","2.466666666666667","00:06:08"
"ВКонтакте","avxolopov","11","8","0.0","2.0","00:05:21"
"Twitter","Не определено","11","11","0.2727272727272727","1.2727272727272727","00:00:14"
"ВКонтакте","event77529000","10","9","0.0","2.0","00:01:08"
"Livejournal","wowavostok","10","6","0.1","1.8","00:06:26"
"ВКонтакте","whatisgood2","9","9","0.0","3.0","00:06:46"
"ВКонтакте","club98650200","8","5","0.125","2.0","00:01:28"
"ВКонтакте","stepan_demura","7","4","0.14285714285714285","1.2857142857142858","00:01:21"
"ВКонтакте","topic-66697608_32210144","7","7","0.14285714285714285","1.0","00:02:15"
"ВКонтакте","antientropia","6","4","0.16666666666666663","3.6666666666666665","00:07:05"
"ВКонтакте","mila.sumskaya","6","2","0.16666666666666663","1.3333333333333333","00:00:16"
"ВКонтакте","videos198350997","5","5","0.2","1.0","00:00:12"
"ВКонтакте","mjstyleprotaidraize","4","3","0.0","1.5","00:00:38"
"ВКонтакте","oksanakafk","4","4","0.0","1.25","00:00:53"
"ВКонтакте","topic-114366489_33670323","4","2","0.0","1.0","00:00:16"
"ВКонтакте","topic-55259181_33097467","4","4","0.25","1.0","00:00:37"
"ВКонтакте","videos57134404","4","1","0.0","1.0","00:00:13"
"Liveinternet","users/vserodcom","4","4","0.0","1.75","00:09:16"
"Livejournal","dar-aya","4","3","0.0","1.5","00:00:33"
"Livejournal","krasinskaya-yu","4","1","0.0","1.25","00:00:28"
"ВКонтакте","andrusha_smlk","3","2","0.6666666666666665","1.0","00:00:04"
"ВКонтакте","club35894060","3","2","0.0","1.0","00:01:17"
"ВКонтакте","id168893007","3","2","0.0","1.0","00:00:14"
"ВКонтакте","id181698515","3","2","0.33333333333333326","2.6666666666666665","00:05:57"
"ВКонтакте","world_of_future","3","2","0.0","2.3333333333333335","00:00:31"
"Livejournal","Не определено","3","3","0.0","1.0","00:00:14"
"Livejournal","alexey43","3","1","0.33333333333333326","1.0","00:00:10"
"Livejournal","evan-gcrm","3","3","0.33333333333333326","1.6666666666666667","00:10:29"
"Livejournal","sergey-tikhonov","3","3","0.6666666666666665","1.0","00:00:05"
"ВКонтакте","club118043882","2","2","0.0","1.0","00:00:15"
"ВКонтакте","dexter2201","2","2","0.0","1.0","00:00:15"
"ВКонтакте","fis_ib","2","2","0.0","4.5","00:10:54"
"ВКонтакте","id179423450","2","1","0.0","1.5","00:01:00"
"ВКонтакте","id53288681","2","1","0.0","1.0","00:00:15"
"ВКонтакте","id57544230","2","1","0.0","1.0","00:00:27"
"ВКонтакте","id95627576","2","2","0.0","1.0","00:00:14"
"ВКонтакте","kfu_landscape_architecture","2","2","0.0","1.0","00:00:22"
