"Период","ВКонтакте","Facebook","Livejournal","instagram.com","Одноклассники"
"2016-01-15","20","0","8","0","0"
"2016-01-16","9","0","6","0","0"
"2016-01-17","14","0","1","0","0"
"2016-01-18","11","0","2","0","0"
"2016-01-19","13","0","2","0","0"
"2016-01-20","16","0","1","0","0"
"2016-01-21","11","0","2","0","0"
"2016-01-22","11","0","1","0","1"
"2016-01-23","13","1","2","0","0"
"2016-01-24","22","0","2","0","0"
"2016-01-25","20","0","1","0","1"
"2016-01-26","22","9","4","0","0"
"2016-01-27","28","6","0","0","1"
"2016-01-28","22","3","4","0","0"
"2016-01-29","13","1","1","0","0"
"2016-01-30","20","0","2","0","0"
"2016-01-31","17","3","2","0","0"
"2016-02-01","15","1","1","0","0"
"2016-02-02","14","0","1","0","0"
"2016-02-03","12","0","0","0","1"
"2016-02-04","7","0","1","0","0"
"2016-02-05","11","0","1","0","0"
"2016-02-06","12","1","0","0","0"
"2016-02-07","14","1","1","0","0"
"2016-02-08","9","0","1","0","0"
"2016-02-09","13","0","3","0","0"
"2016-02-10","14","0","1","0","0"
"2016-02-11","8","0","0","0","1"
"2016-02-12","11","0","0","0","0"
"2016-02-13","8","1","0","0","0"
"2016-02-14","14","0","1","0","0"
"2016-02-15","7","2","3","0","0"
"2016-02-16","4","0","0","0","0"
"2016-02-17","10","0","0","0","0"
"2016-02-18","10","0","1","0","1"
"2016-02-19","11","1","0","0","0"
"2016-02-20","6","1","0","0","0"
"2016-02-21","17","1","0","0","0"
"2016-02-22","14","0","1","0","0"
"2016-02-23","11","0","0","0","1"
"2016-02-24","19","1","0","0","1"
"2016-02-25","15","4","0","0","0"
"2016-02-26","15","1","0","0","0"
"2016-02-27","15","3","1","0","0"
"2016-02-28","15","0","0","0","0"
"2016-02-29","9","0","0","0","0"
"2016-03-01","12","1","1","0","0"
"2016-03-02","6","0","0","0","0"
"2016-03-03","14","0","0","0","0"
"2016-03-04","8","1","0","0","0"
"2016-03-05","12","0","0","0","0"
"2016-03-06","18","0","1","0","0"
"2016-03-07","17","1","0","0","0"
"2016-03-08","7","1","0","0","0"
"2016-03-09","11","1","1","0","0"
"2016-03-10","9","1","0","0","0"
"2016-03-11","7","0","0","0","1"
"2016-03-12","4","1","0","0","0"
"2016-03-13","9","1","1","0","0"
"2016-03-14","18","0","0","0","0"
"2016-03-15","9","0","0","0","0"
"2016-03-16","9","0","0","0","0"
"2016-03-17","12","0","0","0","0"
"2016-03-18","11","1","0","0","0"
"2016-03-19","10","1","0","0","0"
"2016-03-20","14","1","0","0","0"
"2016-03-21","17","0","0","0","0"
"2016-03-22","13","1","1","0","0"
"2016-03-23","12","0","0","0","0"
"2016-03-24","12","0","0","0","0"
"2016-03-25","11","0","1","0","0"
"2016-03-26","13","0","0","0","0"
"2016-03-27","14","2","0","0","0"
"2016-03-28","6","1","0","0","0"
"2016-03-29","13","0","1","0","0"
"2016-03-30","5","0","1","0","0"
"2016-03-31","11","0","0","0","0"
"2016-04-01","11","0","0","0","0"
"2016-04-02","18","1","0","0","0"
"2016-04-03","11","0","0","0","0"
"2016-04-04","19","1","1","0","0"
"2016-04-05","8","2","0","0","0"
"2016-04-06","11","0","0","0","0"
"2016-04-07","15","2","0","0","0"
"2016-04-08","12","0","0","0","0"
"2016-04-09","5","0","0","0","0"
"2016-04-10","21","0","0","0","0"
"2016-04-11","6","1","0","0","0"
"2016-04-12","8","0","0","0","0"
"2016-04-13","5","0","0","0","0"
