"Страна","Область","Город","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","511457","337557","0.14397104741943115","1.495513796858778","00:01:39"
"Россия","Москва и Московская область","Москва","57401","39818","0.15551993867702654","1.4612288984512465","00:01:35"
"Россия","Санкт-Петербург и Ленинградская область","Санкт-Петербург","39319","22260","0.14639232940817418","1.6220656679976602","00:02:04"
"Россия","Не определено","Не определено","38721","29997","0.16536246481237568","1.4125409984246275","00:01:27"
"Беларусь","Минская область","Минск","13918","8634","0.15109929587584423","1.41421181204196","00:01:28"
"Украина","Киевская область","Киев","13484","7833","0.14906555918125186","1.5117917531889646","00:01:44"
"Россия","Новосибирская область","Новосибирск","10012","5857","0.15101877746703954","1.4510587295245705","00:01:23"
"Россия","Свердловская область","Екатеринбург","9598","5950","0.12481767034798917","1.509064388414253","00:01:53"
"Казахстан","Алматинская область","Алматы","8051","6551","0.15588125698670974","1.581170040988697","00:01:37"
"Россия","Краснодарский край","Краснодар","7829","5230","0.1338612849661515","1.4247030272065397","00:01:33"
"Россия","Нижегородская область","Нижний Новгород","7246","4440","0.11137179133314933","1.4494893734474192","00:01:36"
"Россия","Республика Татарстан","Казань","6823","5071","0.12516488348233915","1.485710098197274","00:01:46"
"Россия","Самарская область","Самара","6295","4637","0.13486894360603655","1.5118347895154884","00:01:35"
"Россия","Республика Башкортостан","Уфа","5981","4161","0.1319177395084434","1.3333890653736833","00:01:09"
"Россия","Москва и Московская область","Не определено","5524","3203","0.17034757422157856","1.694967414916727","00:05:15"
"Россия","Красноярский край","Красноярск","5463","3205","0.09939593629873694","1.4147904082006224","00:01:28"
"Украина","Харьковская область","Харьков","5414","3181","0.11267085334318434","1.5064647210934614","00:01:46"
"Россия","Воронежская область","Воронеж","5353","3244","0.12591070427797496","1.4629179899121987","00:01:35"
"Россия","Ростовская область","Ростов-на-Дону","5092","3601","0.14257659073055773","1.4636684996072271","00:01:29"
"Россия","Челябинская область","Челябинск","4998","3532","0.12705082032813125","1.5248099239695878","00:01:38"
"Россия","Томская область","Томск","4927","2674","0.11792165618023137","1.51552668966917","00:01:45"
"Россия","Пермский край","Пермь","4499","3155","0.12091575905756835","1.4747721715936875","00:01:33"
"Россия","Саратовская область","Саратов","4306","2882","0.1184393869019972","1.4405480724570368","00:01:44"
"Россия","Омская область","Омск","4216","2615","0.1368595825426945","1.5403225806451613","00:01:43"
"Россия","Республика Крым","Севастополь","4208","940","0.04800380228136882","1.182509505703422","00:01:26"
"Казахстан","Акмолинская область","Нур-Султан","4167","3662","0.14758819294456443","1.542836573074154","00:01:38"
"Россия","Иркутская область","Иркутск","4145","2858","0.09891435464414958","1.491435464414958","00:01:40"
"Киргизия","Не определено","Бишкек","3868","3184","0.14451913133402275","1.795243019648397","00:01:46"
"Россия","Приморский край","Владивосток","3852","2724","0.1222741433021807","1.4540498442367602","00:01:38"
"Украина","Донецкая область","Донецк","3789","2469","0.13539192399049882","1.3795196621799948","00:01:26"
"Россия","Республика Крым","Симферополь","3420","1811","0.11257309941520469","1.644736842105263","00:01:29"
"Россия","Ставропольский край","Ставрополь","3159","2021","0.12187401076289966","1.5071225071225072","00:01:36"
"Россия","Волгоградская область","Волгоград","2994","1786","0.11957247828991316","1.4612558450233801","00:01:38"
"Россия","Тюменская область","Тюмень","2962","2135","0.14550979068197165","1.3899392302498312","00:01:18"
"Россия","Алтайский край","Барнаул","2955","1995","0.1042301184433164","1.434517766497462","00:01:32"
"Россия","Хабаровский край","Хабаровск","2871","1880","0.13793103448275862","1.6318355973528387","00:01:51"
"Беларусь","Гомельская область","Гомель","2787","1432","0.16074632221026197","1.4779332615715823","00:01:47"
"Узбекистан","Не определено","Ташкент","2679","1992","0.1265397536394177","1.4818962299365435","00:01:29"
"Казахстан","Не определено","Не определено","2569","2067","0.16076294277929154","1.4772284935772675","00:01:24"
"Украина","Не определено","Не определено","2560","1763","0.1578125","1.564453125","00:01:46"
