"Интервал дат визита","Визиты","Посетители","Просмотры","Доля новых посетителей","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","452000","342000","764000","0.9970760233918129","0.13938053097345132","1.6902654867256637","00:02:07"
"2020-01-10","1000","1000","1000","1.0","0.0","1.0","00:00:16"
"2020-01-07","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-12-19","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-12-17","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2019-12-06","1000","1000","1000","1.0","0.0","1.0","00:00:17"
"2019-11-29","2000","2000","2000","1.0","0.5","1.0","00:02:26"
"2019-11-26","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2019-11-24","1000","1000","2000","1.0","0.0","2.0","00:00:37"
"2019-11-21","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2019-11-18","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2019-11-07","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2019-11-05","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2019-10-26","1000","1000","1000","1.0","0.0","1.0","00:00:16"
"2019-09-28","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-09-23","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-09-19","2000","2000","2000","0.5","1.0","1.0","00:00:00"
"2019-09-18","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2019-09-13","1000","1000","1000","1.0","0.0","1.0","00:07:57"
"2019-09-12","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-08-27","1000","1000","1000","0.0","1.0","1.0","00:00:00"
"2019-08-26","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2019-08-11","1000","1000","4000","1.0","0.0","4.0","00:02:53"
"2019-08-01","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2019-07-26","3000","1000","3000","1.0","0.0","1.0","00:00:14"
"2019-07-17","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2019-07-14","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-07-06","1000","1000","21000","1.0","0.0","21.0","00:13:25"
"2019-06-19","1000","1000","3000","1.0","0.0","3.0","00:03:34"
"2019-06-17","2000","2000","4000","1.0","0.0","2.0","00:04:33"
"2019-06-14","1000","1000","4000","1.0","0.0","4.0","00:01:16"
"2019-06-09","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-05-31","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2019-05-26","2000","2000","2000","1.0","0.0","1.0","00:00:11"
"2019-05-13","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-05-09","1000","1000","3000","1.0","0.0","3.0","00:02:36"
"2019-04-29","2000","2000","3000","1.0","0.5","1.5","00:00:14"
"2019-04-25","2000","2000","2000","1.0","0.0","1.0","00:00:14"
"2019-04-16","2000","2000","2000","1.0","0.0","1.0","00:00:12"
"2019-04-14","1000","1000","2000","1.0","0.0","2.0","00:35:48"
"2019-04-08","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-04-07","1000","1000","1000","1.0","0.0","1.0","00:00:16"
"2019-04-05","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2019-03-25","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2019-03-22","2000","1000","2000","1.0","0.5","1.0","00:00:08"
"2019-02-27","1000","1000","2000","1.0","0.0","2.0","00:00:33"
"2019-02-25","3000","2000","42000","1.0","0.33333333333333326","14.0","00:15:01"
"2019-02-24","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-02-22","3000","1000","13000","0.0","0.0","4.333333333333333","00:03:33"
"2019-02-21","1000","1000","3000","1.0","0.0","3.0","00:09:37"
"2019-02-15","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2019-02-13","2000","2000","2000","1.0","0.0","1.0","00:00:14"
"2019-02-07","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-02-06","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2019-02-05","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2019-01-29","1000","1000","1000","1.0","0.0","1.0","00:00:20"
"2019-01-26","1000","1000","2000","1.0","0.0","2.0","00:05:48"
"2019-01-13","1000","1000","1000","1.0","0.0","1.0","00:00:20"
"2019-01-09","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-12-27","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2018-12-24","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-12-19","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-12-15","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-12-13","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-12-09","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2018-12-08","1000","1000","3000","1.0","0.0","3.0","00:17:17"
"2018-12-07","1000","1000","1000","1.0","0.0","1.0","00:00:25"
"2018-11-30","2000","2000","2000","1.0","0.5","1.0","00:00:06"
"2018-11-28","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-11-26","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2018-11-22","1000","1000","1000","1.0","0.0","1.0","00:00:51"
"2018-11-12","1000","1000","1000","1.0","0.0","1.0","00:04:16"
"2018-11-03","1000","1000","2000","1.0","0.0","2.0","00:01:01"
"2018-11-01","1000","1000","5000","1.0","0.0","5.0","00:04:49"
"2018-10-30","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-10-24","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-10-23","1000","1000","1000","1.0","0.0","1.0","00:00:10"
"2018-10-22","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-10-17","1000","1000","1000","0.0","0.0","1.0","00:00:15"
"2018-10-16","3000","1000","4000","1.0","0.0","1.3333333333333333","00:00:15"
"2018-10-12","1000","1000","1000","0.0","0.0","1.0","00:01:04"
"2018-10-11","2000","1000","2000","0.0","0.0","1.0","00:00:15"
"2018-10-09","1000","1000","1000","0.0","0.0","1.0","00:00:13"
"2018-10-07","1000","1000","1000","0.0","0.0","1.0","00:00:14"
"2018-10-03","3000","1000","6000","1.0","0.0","2.0","00:16:56"
"2018-10-02","1000","1000","1000","0.0","0.0","1.0","00:00:15"
"2018-10-01","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-09-30","1000","1000","2000","1.0","0.0","2.0","00:13:41"
"2018-09-27","2000","2000","2000","1.0","0.5","1.0","00:00:11"
"2018-09-23","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2018-09-16","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-09-01","1000","1000","1000","1.0","0.0","1.0","00:00:12"
"2018-07-04","1000","1000","2000","1.0","0.0","2.0","00:00:44"
"2018-07-03","1000","1000","3000","0.0","0.0","3.0","00:07:21"
"2018-07-02","1000","1000","2000","1.0","0.0","2.0","00:01:53"
"2018-06-29","1000","1000","4000","1.0","0.0","4.0","00:00:23"
"2018-06-27","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-06-24","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-06-23","1000","1000","2000","1.0","0.0","2.0","00:11:47"
"2018-06-13","4000","3000","5000","1.0","0.0","1.25","00:00:15"
"2018-06-09","2000","1000","2000","1.0","0.0","1.0","00:00:14"
"2018-06-08","1000","1000","1000","0.0","1.0","1.0","00:00:00"
"2018-06-05","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-06-03","1000","1000","1000","0.0","1.0","1.0","00:00:00"
"2018-05-31","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2018-05-29","2000","2000","2000","1.0","0.0","1.0","00:00:18"
"2018-05-26","1000","1000","1000","0.0","0.0","1.0","00:00:16"
"2018-05-22","4000","3000","4000","0.6666666666666665","0.0","1.0","00:00:13"
"2018-05-21","2000","2000","2000","1.0","0.5","1.0","00:00:06"
"2018-05-19","1000","1000","7000","1.0","0.0","7.0","00:03:20"
"2018-05-16","2000","2000","3000","1.0","0.0","1.5","00:05:09"
"2018-05-13","1000","1000","1000","1.0","0.0","1.0","00:00:26"
"2018-05-10","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2018-05-07","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2018-05-01","2000","2000","2000","1.0","0.5","1.0","00:00:04"
"2018-04-22","1000","1000","1000","1.0","0.0","1.0","00:00:09"
"2018-04-18","2000","2000","2000","1.0","0.0","1.0","00:00:13"
"2018-04-16","3000","3000","3000","1.0","0.33333333333333326","1.0","00:00:09"
"2018-04-15","1000","1000","1000","1.0","0.0","1.0","00:00:09"
"2018-04-11","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-04-09","2000","2000","2000","0.5","0.5","1.0","00:00:01"
"2018-04-02","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2018-03-30","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-03-27","1000","1000","2000","1.0","0.0","2.0","00:05:11"
"2018-03-23","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-03-20","2000","2000","4000","1.0","0.0","2.0","00:03:28"
"2018-03-19","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-03-14","1000","1000","1000","1.0","0.0","1.0","00:00:08"
"2018-03-13","1000","1000","11000","1.0","0.0","11.0","00:01:19"
"2018-03-12","2000","2000","2000","1.0","0.5","1.0","00:00:06"
"2018-03-05","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-03-02","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-02-26","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2018-02-21","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-02-11","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-02-04","3000","3000","3000","1.0","0.0","1.0","00:00:14"
"2018-02-01","1000","1000","7000","1.0","0.0","7.0","00:12:03"
"2018-01-31","1000","1000","1000","0.0","0.0","1.0","00:00:13"
"2018-01-29","4000","2000","4000","1.0","0.0","1.0","00:00:14"
"2018-01-25","2000","2000","2000","1.0","0.0","1.0","00:00:12"
"2018-01-22","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2018-01-20","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2018-01-18","1000","1000","8000","1.0","0.0","8.0","00:02:11"
"2018-01-14","4000","2000","4000","1.0","0.0","1.0","00:07:41"
"2018-01-12","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2018-01-02","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2017-12-22","1000","1000","2000","1.0","0.0","2.0","00:00:30"
"2017-12-12","2000","2000","2000","1.0","0.5","1.0","00:00:08"
"2017-12-07","2000","2000","13000","1.0","0.0","6.5","00:01:20"
"2017-12-03","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2017-11-12","1000","1000","2000","1.0","0.0","2.0","00:00:06"
"2017-11-10","1000","1000","1000","1.0","0.0","1.0","00:00:20"
"2017-11-08","3000","2000","7000","1.0","0.33333333333333326","2.3333333333333335","00:17:18"
"2017-11-02","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2017-10-31","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-10-24","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2017-10-20","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2017-10-19","1000","1000","1000","1.0","0.0","1.0","00:01:13"
"2017-10-17","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-10-16","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-10-14","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-10-11","1000","1000","1000","0.0","0.0","1.0","00:00:18"
"2017-10-09","1000","1000","4000","0.0","0.0","4.0","00:31:30"
"2017-10-07","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-10-04","1000","1000","1000","0.0","1.0","1.0","00:00:00"
"2017-10-03","1000","1000","1000","1.0","0.0","1.0","00:00:19"
"2017-09-29","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2017-09-28","1000","1000","1000","0.0","1.0","1.0","00:00:00"
"2017-09-24","3000","3000","7000","0.6666666666666665","0.0","2.3333333333333335","00:02:03"
"2017-09-23","1000","1000","1000","1.0","0.0","1.0","00:00:24"
"2017-09-22","1000","1000","1000","0.0","0.0","1.0","00:00:15"
"2017-09-20","1000","1000","1000","0.0","1.0","1.0","00:00:00"
"2017-09-12","1000","1000","3000","0.0","0.0","3.0","00:01:31"
"2017-09-08","1000","1000","3000","0.0","0.0","3.0","00:32:21"
"2017-08-31","2000","2000","8000","0.0","0.0","4.0","00:11:31"
"2017-08-28","2000","1000","3000","0.0","0.0","1.5","00:06:01"
"2017-08-27","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2017-08-23","1000","1000","2000","0.0","0.0","2.0","00:00:48"
"2017-08-17","1000","1000","1000","0.0","1.0","1.0","00:00:00"
"2017-08-15","2000","2000","5000","1.0","0.0","2.5","00:01:04"
"2017-07-26","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-07-16","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-07-11","3000","1000","10000","1.0","0.0","3.3333333333333335","00:02:28"
"2017-07-09","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-07-01","1000","1000","2000","1.0","0.0","2.0","00:00:33"
"2017-06-30","1000","1000","1000","1.0","0.0","1.0","00:00:13"
"2017-06-29","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-06-19","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2017-06-13","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-06-12","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-06-09","2000","2000","4000","1.0","0.0","2.0","00:04:24"
"2017-06-08","1000","1000","1000","1.0","0.0","1.0","00:00:16"
"2017-06-06","2000","1000","2000","1.0","0.0","1.0","00:00:15"
"2017-05-31","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2017-05-23","1000","1000","4000","1.0","0.0","4.0","00:04:29"
"2017-05-21","1000","1000","1000","1.0","0.0","1.0","00:00:16"
"2017-05-17","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2017-05-14","1000","1000","1000","1.0","0.0","1.0","00:00:18"
"2017-05-09","1000","1000","1000","0.0","0.0","1.0","00:00:16"
"2017-05-05","1000","1000","1000","0.0","0.0","1.0","00:00:21"
"2017-05-04","2000","2000","3000","1.0","0.5","1.5","00:00:08"
"2017-05-03","1000","1000","1000","0.0","0.0","1.0","00:00:16"
"2017-05-01","1000","1000","1000","0.0","0.0","1.0","00:00:15"
"2017-04-30","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-04-25","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2017-04-22","1000","1000","1000","1.0","0.0","1.0","00:00:16"
"2017-04-16","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-04-10","2000","1000","4000","0.0","0.0","2.0","00:19:11"
"2017-04-09","1000","1000","1000","1.0","1.0","1.0","00:00:00"
"2017-04-06","2000","2000","2000","1.0","0.0","1.0","00:00:15"
"2017-04-04","1000","1000","2000","0.0","0.0","2.0","00:02:38"
"2017-04-03","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-03-31","2000","1000","2000","1.0","0.0","1.0","00:00:14"
"2017-03-28","1000","1000","1000","1.0","0.0","1.0","00:00:29"
"2017-03-26","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-03-25","1000","1000","1000","1.0","0.0","1.0","00:00:14"
"2017-03-23","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-03-22","1000","1000","2000","1.0","0.0","2.0","00:08:46"
"2017-03-17","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-03-14","1000","1000","5000","0.0","0.0","5.0","00:16:25"
"2017-03-11","1000","1000","2000","1.0","0.0","2.0","00:01:30"
"2017-03-10","2000","2000","3000","0.5","0.0","1.5","00:06:25"
"2017-03-07","1000","1000","1000","1.0","0.0","1.0","00:01:05"
"2017-03-02","1000","1000","2000","1.0","0.0","2.0","00:01:48"
"2017-02-27","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-02-21","2000","1000","6000","0.0","0.0","3.0","00:03:57"
"2017-02-18","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-02-17","1000","1000","4000","1.0","0.0","4.0","00:00:42"
"2017-02-12","2000","2000","4000","0.0","0.0","2.0","00:07:59"
"2017-02-08","1000","1000","1000","1.0","0.0","1.0","00:00:17"
"2017-02-05","2000","1000","2000","0.0","0.0","1.0","00:00:14"
"2017-02-01","1000","1000","4000","1.0","0.0","4.0","00:10:22"
"2017-01-29","2000","1000","3000","1.0","0.0","1.5","00:03:15"
"2017-01-27","2000","2000","6000","1.0","0.0","3.0","00:05:11"
"2017-01-26","3000","3000","3000","1.0","0.33333333333333326","1.0","00:00:10"
"2017-01-18","1000","1000","1000","0.0","0.0","1.0","00:00:14"
"2017-01-17","1000","1000","3000","1.0","0.0","3.0","00:01:23"
"2017-01-15","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-01-12","1000","1000","2000","1.0","0.0","2.0","00:00:42"
"2017-01-10","1000","1000","1000","0.0","0.0","1.0","00:00:14"
"2017-01-08","1000","1000","1000","1.0","0.0","1.0","00:00:15"
"2017-01-05","1000","1000","1000","1.0","0.0","1.0","00:00:29"
