date,record_id,new_values
2018-12-11 08:47:56,2187055,"date_start=2018-12-04
component=abc
customer=4735"
2018-12-19 12:40:17,2199969,"date_start=2018-12-18
component=abc
customer=19799"
2018-12-19 12:40:17,2199971,"date_start=2018-12-18
component=abc
customer=19978"
2018-12-19 12:40:17,2199973,"date_start=2018-12-18
component=abc
customer=15017"
2018-12-19 12:40:17,2199975,"date_start=2018-12-18
component=abc
customer=20566"
2018-12-19 12:40:25,2199977,"date_start=2018-12-18
component=abc
customer=9810"
2018-12-19 12:40:25,2199979,"date_start=2018-12-18
component=abc
customer=27516"
2018-12-19 12:40:17,2199981,"date_start=2018-12-18
component=abc
customer=29566"
2018-12-19 12:40:17,2199983,"date_start=2018-12-18
component=abc
customer=27024"
2018-12-19 12:40:17,2199985,"date_start=2018-12-18
component=abc
customer=24219"
