pickup_dt,pickup_month,borough,pickups,hday,spd,vsb,temp,dewp,slp,pcp 01,pcp 06,pcp 24,sd
2015-01-01 01:00:00,Jan,Bronx,152,Y,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,Jan,Brooklyn,1519,Y,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,Jan,EWR,0,Y,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,Jan,Manhattan,5258,Y,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,Jan,Queens,405,Y,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,Jan,Staten Island,6,Y,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0
2015-01-01 01:00:00,Jan,,4,Y,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,Jan,Bronx,120,Y,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,Jan,Brooklyn,1229,Y,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,Jan,EWR,0,Y,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,Jan,Manhattan,4345,Y,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,Jan,Queens,331,Y,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,Jan,Staten Island,7,Y,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00,Jan,,11,Y,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,Jan,Bronx,132,Y,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,Jan,Brooklyn,1601,Y,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,Jan,EWR,0,Y,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,Jan,Manhattan,4577,Y,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,Jan,Queens,440,Y,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,Jan,Staten Island,12,Y,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0
2015-01-01 03:00:00,Jan,,1,Y,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,Jan,Bronx,128,Y,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00,Jan,Brooklyn,1390,Y,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0
