link,uni
https://vk.com/sum_moscow,ГУУ | Государственный  управления
https://vk.com/nsu24,Новосибирский государственный  | НГУ
https://vk.com/rsuj_moscow,РГУП I  правосудия
https://vk.com/permuniversity,Пермский государственный  (ПГНИУ)
https://vk.com/official_volsu,Волгоградский государственный  ВолГУ
https://vk.com/mirea_official,МИРЭА — Российский технологический
https://vk.com/mi.university,Московский международный  (ММУ)
https://vk.com/officialmarsu,Марийский государственный  | МарГУ
https://vk.com/tpunews,ТПУ | Томский политехнический
https://vk.com/rumgpu,Московский городской  МГПУ
https://vk.com/pnzgu,Пензенский государственный  | ПГУ
https://vk.com/svfuniver,Северо-Восточный федеральный   (СВФУ)
https://vk.com/rsukosygin,Косыгина | РГУ им. А.Н. Косыгина
https://vk.com/pimunn,Приволжский медицинский  | ПИМУ
https://vk.com/omskpoliteh,ОмГТУ - опорный  Омской области
https://vk.com/tyumen.university,Тюменский государственный  | ТюмГУ
https://vk.com/volggtu,Волгоградский технический  ВолгГТУ
https://vk.com/mosvitte,Московский  имени С.Ю.Витте
https://vk.com/bashkiruniversity,Башкирский государственный  (БашГУ)
https://vk.com/sevsu,Севастопольский государственный
https://vk.com/permsma,Пермский государственный медицинский
https://vk.com/eusporg,Европейский  в Санкт-Петербурге
https://vk.com/beluniversity,БелГУ Белгородский государственный
https://vk.com/tmbstu,Тамбовский гос. технический  (ТГТУ)
https://vk.com/univer_mitso,Международный  «МИТСО»
https://vk.com/lobachevsky_university,Лобачевского
https://vk.com/samgups.official,СамГУПС
https://vk.com/nmstu,Опорный  МГТУ им. Г.И. Носова
https://vk.com/rutmiitvk,РУТ (МИИТ) | Российский  транспорта
https://vk.com/pgpuspb,Санкт-Петербургский политехнический
https://vk.com/finuniversity,Финансовый  при Правительстве РФ
https://vk.com/itmoru,ИТМО
https://vk.com/rudn_university,Российский  дружбы народов (РУДН)
https://vk.com/free_university_ekb,Свободный  - Екатеринбург
https://vk.com/ural.federal.university,Уральский федеральный  | УрФУ
https://vk.com/kazan_federal_university,Казанский федеральный
https://vk.com/mgimo,МГИМО
https://vk.com/tomskuniversity,Томский государственный  | ТГУ
https://vk.com/siberianfederal,Сибирский федеральный  (СФУ)
https://vk.com/bsu_by,Белорусский государственный  (БГУ)
https://vk.com/club11701686,Братский филиал Иркутского Государственного а
https://vk.com/donstu,Донской государственный технический
https://vk.com/kubsau,Кубанский государственный аграрный
https://vk.com/csu76,ЧелГУ. Челябинский государственный
https://vk.com/svgu_ru,Северо-Восточный государственный
https://vk.com/official_public_bru,Белорусско-Российский
https://vk.com/ivsu_37,Ивановский государственный  (ИвГУ)
https://vk.com/sfedu_official,Южный федеральный  (ЮФУ)
https://vk.com/industrial_u,Тюменский индустриальный  | ТИУ
https://vk.com/ulsu_ulgu,Ульяновский государственный  (УлГУ)
https://vk.com/university_tvgu,ТВЕРСКОЙ ГОСУДАРСТВЕННЫЙ  - ТвГУ
https://vk.com/kursksu,КУРСКИЙ ГОСУДАРСТВЕННЫЙ  (КГУ)
https://vk.com/kazatukz,Казахский Агротехнический  КазАТУ
https://vk.com/msal_ru,имени О.Е. Кутафина (МГЮА)
https://vk.com/sofedu,Южный Федеральный  (ЮФУ)
https://vk.com/irkutskuniversity,Иркутский государственный  (ИГУ)
https://vk.com/chsu35,Череповецкий государственный
https://vk.com/vogu35,Вологодский государственный
https://vk.com/ursmu_ru,Уральский государственный горный
https://vk.com/tuvgosuniver,Тувинский Государственный  (ТувГУ)
https://vk.com/khsu_ru,ХГУ - Хакасский государственный
https://vk.com/mheu_official,МОСКОВСКИЙ ГУМАНИТАРНО-ЭКОНОМИЧЕСКИЙ
https://vk.com/kemgma,КемГМУ (бывш.КГМА) - Кемеровский Мед.
https://vk.com/vgtu_tip,Типичный ВГТУ (Воронежский Опорный )
https://vk.com/surgu,Сургутский государственный  | СурГУ
https://vk.com/vggu_kirov,Вятский государственный гуманитарный
https://vk.com/mrsu13,Мордовский государственный
