"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"15.03.2020","views","","",4
"15.03.2020","visitors","","",3
"15.03.2020","gender","М","",3
"15.03.2020","age","24-27","",1
"15.03.2020","age","30-35","",2
"15.03.2020","gender_age","М","24-27",1
"15.03.2020","gender_age","М","30-35",2
"15.03.2020","cities","Хабаровск","",1
"15.03.2020","cities","Оренбург","",1
"15.03.2020","countries","Россия","",3
"14.03.2020","views","","",14
"14.03.2020","visitors","","",10
"14.03.2020","gender","Ж","",1
"14.03.2020","gender","М","",8
"14.03.2020","age","24-27","",1
"14.03.2020","age","27-30","",4
"14.03.2020","age","30-35","",1
"14.03.2020","age","35-45","",1
"14.03.2020","gender_age","Ж","24-27",1
"14.03.2020","gender_age","М","27-30",4
"14.03.2020","gender_age","М","30-35",1
"14.03.2020","gender_age","М","35-45",1
"14.03.2020","cities","Москва","",2
"14.03.2020","cities","Рубцовск","",1
"14.03.2020","cities","Одесса","",1
"14.03.2020","cities","Омск","",1
"14.03.2020","cities","Пермь","",1
"14.03.2020","countries","Россия","",8
"14.03.2020","countries","Украина","",1
"14.03.2020","countries","Беларусь","",1
"14.03.2020","sections","Видеозаписи","",3
"14.03.2020","members","Новые участники","",1
"13.03.2020","views","","",16
"13.03.2020","visitors","","",7
"13.03.2020","gender","Ж","",1
"13.03.2020","gender","М","",5
"13.03.2020","age","27-30","",1
"13.03.2020","age","30-35","",3
"13.03.2020","age","35-45","",1
"13.03.2020","gender_age","М","27-30",1
"13.03.2020","gender_age","М","30-35",3
"13.03.2020","gender_age","М","35-45",1
"13.03.2020","cities","Москва","",2
"13.03.2020","cities","Одесса","",1
"13.03.2020","cities","Челябинск","",1
"13.03.2020","countries","Россия","",5
"13.03.2020","countries","Украина","",1
"13.03.2020","countries","","",1
"13.03.2020","sections","Видеозаписи","",1
"13.03.2020","feedback","Нравится","",2
"13.03.2020","members","Новые участники","",1
"12.03.2020","views","","",17
"12.03.2020","visitors","","",13
"12.03.2020","gender","Ж","",2
"12.03.2020","gender","М","",6
"12.03.2020","age","21-24","",1
"12.03.2020","age","27-30","",1
"12.03.2020","age","30-35","",3
"12.03.2020","age","35-45","",1
"12.03.2020","age","45+","",1
"12.03.2020","gender_age","Ж","21-24",1
"12.03.2020","gender_age","Ж","45+",1
"12.03.2020","gender_age","М","27-30",1
"12.03.2020","gender_age","М","30-35",3
"12.03.2020","gender_age","М","35-45",1
"12.03.2020","cities","Москва","",3
"12.03.2020","cities","Нижний Тагил","",1
"12.03.2020","cities","Рубцовск","",1
"12.03.2020","countries","Россия","",13
"12.03.2020","sections","Видеозаписи","",1
"12.03.2020","feedback","Нравится","",1
"12.03.2020","members","Новые участники","",2
"12.03.2020","members","Вышедшие участники","",2
"11.03.2020","views","","",13
"11.03.2020","visitors","","",10
"11.03.2020","gender","Ж","",1
"11.03.2020","gender","М","",6
"11.03.2020","age","30-35","",4
"11.03.2020","age","35-45","",2
"11.03.2020","gender_age","Ж","35-45",1
"11.03.2020","gender_age","М","30-35",4
"11.03.2020","gender_age","М","35-45",1
"11.03.2020","cities","Москва","",2
"11.03.2020","cities","Tokyo","",1
"11.03.2020","cities","Киев","",1
"11.03.2020","cities","Одесса","",1
"11.03.2020","countries","Россия","",7
"11.03.2020","countries","Великобритания","",1
"11.03.2020","countries","Беларусь","",1
"11.03.2020","countries","","",1
"11.03.2020","members","Новые участники","",2
"10.03.2020","views","","",34
"10.03.2020","visitors","","",17
"10.03.2020","gender","Ж","",4
"10.03.2020","gender","М","",8
"10.03.2020","age","18-21","",1
"10.03.2020","age","27-30","",1
"10.03.2020","age","30-35","",5
"10.03.2020","age","35-45","",1
"10.03.2020","age","45+","",1
"10.03.2020","gender_age","Ж","18-21",1
"10.03.2020","gender_age","Ж","27-30",1
"10.03.2020","gender_age","Ж","45+",1
"10.03.2020","gender_age","М","30-35",5
"10.03.2020","gender_age","М","35-45",1
"10.03.2020","cities","Москва","",2
"10.03.2020","cities","Екатеринбург","",2
"10.03.2020","cities","Брянск","",1
"10.03.2020","cities","Рубцовск","",1
"10.03.2020","cities","Уфа","",1
"10.03.2020","cities","Караганда","",1
"10.03.2020","cities","Минск","",1
"10.03.2020","cities","Киев","",1
"10.03.2020","countries","Россия","",14
"10.03.2020","countries","Беларусь","",2
"10.03.2020","countries","Нидерланды","",1
"10.03.2020","sections","Видеозаписи","",2
"10.03.2020","feedback","Нравится","",2
"10.03.2020","members","Новые участники","",1
"10.03.2020","members","Вышедшие участники","",3
"09.03.2020","views","","",20
"09.03.2020","visitors","","",14
"09.03.2020","gender","Ж","",3
"09.03.2020","gender","М","",6
"09.03.2020","age","24-27","",2
"09.03.2020","age","30-35","",4
"09.03.2020","age","45+","",2
"09.03.2020","gender_age","Ж","24-27",2
"09.03.2020","gender_age","Ж","45+",1
"09.03.2020","gender_age","М","30-35",4
"09.03.2020","gender_age","М","45+",1
"09.03.2020","cities","Москва","",5
"09.03.2020","cities","Рубцовск","",1
"09.03.2020","cities","Praha","",1
"09.03.2020","cities","Владимир","",1
"09.03.2020","cities","Нур-Султан / Астана","",1
"09.03.2020","countries","Россия","",11
"09.03.2020","countries","Чехия","",1
"09.03.2020","countries","Украина","",1
"09.03.2020","countries","Казахстан","",1
"09.03.2020","sections","Видеозаписи","",2
"09.03.2020","members","Новые участники","",2
"09.03.2020","members","Вышедшие участники","",1
"08.03.2020","views","","",10
"08.03.2020","visitors","","",9
"08.03.2020","gender","Ж","",1
"08.03.2020","gender","М","",8
"08.03.2020","age","27-30","",2
"08.03.2020","age","30-35","",4
"08.03.2020","age","45+","",1
"08.03.2020","gender_age","Ж","45+",1
"08.03.2020","gender_age","М","27-30",2
"08.03.2020","gender_age","М","30-35",4
"08.03.2020","cities","Санкт-Петербург","",3
"08.03.2020","cities","Москва","",2
"08.03.2020","cities","Искитим","",1
