"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"15.03.2020","views","","",1
"15.03.2020","visitors","","",1
"15.03.2020","gender","М","",1
"15.03.2020","age","30-35","",1
"15.03.2020","gender_age","М","30-35",1
"15.03.2020","countries","Россия","",1
"14.03.2020","views","","",1
"14.03.2020","visitors","","",1
"14.03.2020","countries","Германия","",1
"13.03.2020","views","","",7
"13.03.2020","visitors","","",3
"13.03.2020","gender","Ж","",1
"13.03.2020","gender","М","",2
"13.03.2020","age","24-27","",1
"13.03.2020","age","27-30","",2
"13.03.2020","gender_age","Ж","24-27",1
"13.03.2020","gender_age","М","27-30",2
"13.03.2020","cities","Санкт-Петербург","",2
"13.03.2020","countries","Россия","",2
"13.03.2020","countries","Франция","",1
"13.03.2020","sections","Обсуждения","",3
"12.03.2020","views","","",7
"12.03.2020","visitors","","",4
"12.03.2020","gender","Ж","",1
"12.03.2020","gender","М","",2
"12.03.2020","age","27-30","",1
"12.03.2020","age","30-35","",2
"12.03.2020","gender_age","Ж","27-30",1
"12.03.2020","gender_age","М","30-35",2
"12.03.2020","countries","Россия","",3
"12.03.2020","countries","Индонезия","",1
"12.03.2020","sections","Обсуждения","",3
"11.03.2020","views","","",7
"11.03.2020","visitors","","",4
"11.03.2020","gender","Ж","",1
"11.03.2020","gender","М","",2
"11.03.2020","age","27-30","",1
"11.03.2020","age","30-35","",1
"11.03.2020","age","35-45","",1
"11.03.2020","gender_age","Ж","27-30",1
"11.03.2020","gender_age","М","30-35",1
"11.03.2020","gender_age","М","35-45",1
"11.03.2020","cities","Москва","",1
"11.03.2020","cities","Санкт-Петербург","",1
"11.03.2020","countries","Россия","",2
"11.03.2020","countries","США","",1
"11.03.2020","countries","Германия","",1
"11.03.2020","sections","Обсуждения","",3
"10.03.2020","views","","",5
"10.03.2020","visitors","","",4
"10.03.2020","gender","Ж","",1
"10.03.2020","gender","М","",2
"10.03.2020","age","1-18","",1
"10.03.2020","age","21-24","",1
"10.03.2020","gender_age","Ж","21-24",1
"10.03.2020","gender_age","М","1-18",1
