id,order_date,ship_mode,customer_id,sales
100006,2014-09-07,Standard,DK-13375,377.97
100090,2014-07-08,Standard,EB-13705,699.192
100293,2014-03-14,Standard,NF-18475,91.056
100328,2014-01-28,Standard,JC-15340,3.928
100363,2014-04-08,Standard,JM-15655,21.376
100391,2014-05-25,Standard,BW-11065,14.62
100678,2014-04-18,Standard,KM-16720,697.074
100706,2014-12-16,Second,LE-16810,129.44
100762,2014-11-24,Standard,NG-18355,508.62
100860,2014-03-26,Second,CS-12505,18.75
100867,2014-10-19,Standard,EH-14125,321.552
100881,2014-03-28,Standard,DR-12940,302.376
100895,2014-06-02,Standard,SV-20785,605.47
100916,2014-10-21,Standard,FH-14275,788.86
100972,2014-11-19,Second,DB-13360,166.44
101147,2014-12-02,First,MC-17575,2.394
101175,2014-12-09,Standard,DM-12955,100.704
101266,2014-08-27,Second,MM-17920,13.36
101364,2014-12-22,Standard,TW-21025,296.712
101392,2014-12-07,Standard,AS-10630,269.36
101427,2014-12-26,Standard,AY-10555,8.016
101462,2014-04-20,Standard,BP-11230,59.92
101476,2014-09-12,First,SD-20485,69.99
101560,2014-11-28,Second,CS-12250,542.34
101602,2014-12-15,First,MC-18100,803.96
101770,2014-03-31,Standard,KB-16240,1.869
101833,2014-11-17,Second,FG-14260,34.44
101931,2014-10-28,First,TS-21370,1252.602
102008,2014-09-30,Standard,RA-19915,48.94
102085,2014-10-04,Standard,JD-16015,29.24
102274,2014-11-21,Standard,DH-13075,865.5
102295,2014-11-24,Second,EH-13990,120.712
102330,2014-12-29,Standard,AI-10855,408.768
102645,2014-01-23,Standard,IM-15055,40.08
102652,2014-04-06,Standard,AY-10555,199.99
102673,2014-11-01,Standard,KH-16630,1044.44
102869,2014-09-09,Second,LC-17140,233.244
102988,2014-04-05,Second,GM-14695,4251.92
103058,2014-07-23,First,AG-10270,99.98
103086,2014-10-17,Second,EB-14170,5.312
103100,2014-12-20,First,AB-10105,1107.66
103191,2014-09-22,Standard,VG-21805,331.536
103219,2014-11-09,Standard,BF-11215,56.52
103310,2014-05-10,Standard,GM-14680,1769.784
103317,2014-07-05,First,DM-13525,242.546
103331,2014-08-26,Standard,KB-16315,31.4
103366,2014-01-15,First,EH-13990,149.95
103373,2014-05-18,Standard,BS-11755,779.796
103401,2014-11-21,Standard,GR-14560,12.96
103429,2014-05-30,First,LW-16825,765.494
103492,2014-10-10,Standard,CM-12715,1488.774
103527,2014-09-09,Second,CC-12220,10.896
103590,2014-11-30,Standard,JL-15505,62.28
103660,2014-08-25,Standard,MW-18220,1007.944
103702,2014-09-12,Standard,AF-10885,63.924
103744,2014-02-23,Standard,MG-17875,11.364
103800,2014-01-03,Standard,DP-13000,16.448
103807,2014-12-02,Standard,EM-13825,21.19
103849,2014-05-11,Standard,PG-18895,225.016
103940,2014-09-17,Standard,BN-11515,260.79
103989,2014-03-19,First,MC-17605,590.762
104178,2014-08-25,Standard,JM-15265,176.14
104269,2014-03-01,Second,DB-13060,457.568
