name,country,time,ranking,type,year,director
Невеста,Россия,74,"7,66",фильм,2006,Билли Уайлдер
Кто приходит в зимний вечер,Россия,90,"6,038",фильм,2006,Билли Уайлдер
Моя мама Снегурочка,Россия,90,"6,828",фильм,2007,Билли Уайлдер
Набережная Орфевр,Франция,106,"7,597",фильм,1947,Билли Уайлдер
Лузер ,Россия,104,"6,065",фильм,2007,Билли Уайлдер
Крепкий орешек,США,133,"8,024",фильм,1988,Билли Уайлдер
Морозко,СССР,84,"8,011",фильм,1964,Билли Уайлдер
Крепкий орешек 2,США,124,"7,759",фильм,1990,Билли Уайлдер
Кунг-фу Панда: Праздничный выпуск ,США,21,"7,07",мультфильм,2010,Билли Уайлдер
Любители игрушек,США,7,"6,861",мультфильм,1949,Билли Уайлдер
Магазинчик за углом,США,99,"7,921",фильм,1940,Билли Уайлдер
Мужчина в моей голове ,Россия,113,"7,143",фильм,2009,Билли Уайлдер
Микки: Однажды под Рождество (видео),США,66,"7,189",мультфильм,1999,Билли Уайлдер
Кушать подано!,Украина,85,"7,348",фильм,2005,Билли Уайлдер
Мастерская Санта Клауса,США,7,"6,706",мультфильм,1932,Билли Уайлдер
Кудряшка Сью,США,101,"7,645",фильм,1991,Билли Уайлдер
Маленькие женщины,США,115,"7,716",фильм,1994,Билли Уайлдер
Однажды в Токио,Япония,88,"7,702",мультфильм,2003,Джиллиан Армстронг
Плохой Санта,Германия,91,"7,439",фильм,2003,Джиллиан Армстронг
Новогоднее похищение ,СССР,212,"6,158",фильм,1969,Джиллиан Армстронг
Один дома 2: Затерянный в Нью-Йорке,США,119,"7,942",фильм,1992,Джиллиан Армстронг
"Ой, мороз, мороз!",РСФСР,95,"5,775",фильм,2005,Джиллиан Армстронг
Неспящие в Сиэттле,США,105,"7,642",фильм,1993,Джиллиан Армстронг
Нико: Путь к звездам,Финляндия,81,"6,739",мультфильм,2008,Джиллиан Армстронг
Новогодний детектив ,Россия,90,"5,981",фильм,2010,Джиллиан Армстронг
Ночь закрытых дверей,Россия,93,"6,491",фильм,2008,Джиллиан Армстронг
Отпуск по обмену,США,138,"7,633",фильм,2006,Джиллиан Армстронг
Падал прошлогодний снег ,СССР,20,"8,765",мультфильм,1983,Джиллиан Армстронг
Полярный экспресс,США,100,"7,197",мультфильм,2004,Джиллиан Армстронг
Один дома,США,103,"8,231",фильм,1990,Джиллиан Армстронг
Незабываемый роман,США,115,"7,814",фильм,1957,Джиллиан Армстронг
Новогодние сваты ,Украина,97,"6,352",фильм,2010,Джиллиан Армстронг
Новогодняя ночь,СССР,11,"7,518",мультфильм,1948,Джиллиан Армстронг
Ночь перед Рождеством,США,9,"8,147",мультфильм,1941,Джиллиан Армстронг
О чём ещё говорят мужчины,Россия,95,"6,78",фильм,2011,Джиллиан Армстронг
Операция «С новым годом» ,Россия,93,"6,388",фильм,1996,Джиллиан Армстронг
Ночь перед Рождеством (СССР),СССР,49,"7,909",мультфильм,1951,Джиллиан Армстронг
Пингвины из Мадагаскара в рождественских приключениях,США,10,"7,53",мультфильм,2005,Джиллиан Армстронг
Подручный Хадсакера,Великобритания,106,"7,311",фильм,1994,Джиллиан Армстронг
