"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.16.0.8","64.13.134.52","TCP","58","36050  >  443 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"2","0.001539","172.16.0.8","64.13.134.52","TCP","58","36050  >  143 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"3","0.001597","172.16.0.8","64.13.134.52","TCP","58","36050  >  3306 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"4","0.001650","172.16.0.8","64.13.134.52","TCP","58","36050  >  199 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"5","0.001703","172.16.0.8","64.13.134.52","TCP","58","36050  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"6","0.001755","172.16.0.8","64.13.134.52","TCP","58","36050  >  1025 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"7","0.001807","172.16.0.8","64.13.134.52","TCP","58","36050  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","0.001861","172.16.0.8","64.13.134.52","TCP","58","36050  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"9","0.001913","172.16.0.8","64.13.134.52","TCP","58","36050  >  53 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"10","0.001965","172.16.0.8","64.13.134.52","TCP","58","36050  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"11","0.063797","64.13.134.52","172.16.0.8","TCP","60","53  >  36050 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380"
"12","0.065271","172.16.0.8","64.13.134.52","TCP","58","36050  >  21 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"13","0.065341","172.16.0.8","64.13.134.52","TCP","58","36050  >  113 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"14","0.126832","64.13.134.52","172.16.0.8","TCP","60","113  >  36050 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","0.129000","172.16.0.8","64.13.134.52","TCP","58","36050  >  80 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"16","0.129075","172.16.0.8","64.13.134.52","TCP","58","36050  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"17","0.189975","64.13.134.52","172.16.0.8","TCP","60","80  >  36050 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1380"
"18","0.191518","172.16.0.8","64.13.134.52","TCP","58","36050  >  3389 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"19","0.191589","172.16.0.8","64.13.134.52","TCP","58","36050  >  23 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"20","1.202878","172.16.0.8","64.13.134.52","TCP","58","36051  >  23 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"21","1.202974","172.16.0.8","64.13.134.52","TCP","58","36051  >  3389 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"22","1.203041","172.16.0.8","64.13.134.52","TCP","58","36051  >  139 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"23","1.203111","172.16.0.8","64.13.134.52","TCP","58","36051  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"24","1.203176","172.16.0.8","64.13.134.52","TCP","58","36051  >  5900 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"25","1.203241","172.16.0.8","64.13.134.52","TCP","58","36051  >  587 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"26","1.203316","172.16.0.8","64.13.134.52","TCP","58","36051  >  995 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"27","1.203381","172.16.0.8","64.13.134.52","TCP","58","36051  >  1025 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"28","1.203446","172.16.0.8","64.13.134.52","TCP","58","36051  >  111 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
